longitude,latitude,name,markerinnerhtml
6.863947,47.50611,Element Hair,<p><b>Element Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Element+Hair 4+RUE+DE+LA+LIBERATION+ETUPES'>Voir la devanture via Google Maps</a></p>
-0.674145,47.561987,Crea'tif,<p><b>Crea'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Crea%27tif 18+RUE+CHARLES+DE+GAULLE+LONGUENEE-EN-ANJOU'>Voir la devanture via Google Maps</a></p>
-0.424595,49.219675,Sympa'tif,<p><b>Sympa'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sympa%27tif 2+RTE+DE+CREULLY+CAIRON'>Voir la devanture via Google Maps</a></p>
-3.383929,47.703837,Hair One,<p><b>Hair One</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Hair+One 1+PROM+DE+PORT+MARIA+LARMOR-PLAGE'>Voir la devanture via Google Maps</a></p>
1.521638,44.075947,Eurl Affinitifs,<p><b>Eurl Affinitifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Eurl+Affinitifs 1+PL+NATIONALE+NEGREPELISSE'>Voir la devanture via Google Maps</a></p>
2.886077,42.72121,Sup'hair,<p><b>Sup'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sup%27hair 7+AV+DU+LANGUEDOC+PERPIGNAN'>Voir la devanture via Google Maps</a></p>
-0.417681,48.254523,L'atelier D'hamb'hair,<p><b>L'atelier D'hamb'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27atelier+D%27hamb%27hair 1+RUE+JEAN-LOUIS+BERNARD+HAMBERS'>Voir la devanture via Google Maps</a></p>
6.466452,43.538872,L Hair Du Temps,<p><b>L Hair Du Temps</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L+Hair+Du+Temps 8+PL+AUX+HERBES+DRAGUIGNAN'>Voir la devanture via Google Maps</a></p>
3.106906,45.668996,Op Hair,<p><b>Op Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Op+Hair 12+RUE+LEGER+GAUTHIER+SAINT-AMANT-TALLENDE'>Voir la devanture via Google Maps</a></p>
7.485755,48.524787,L'hair Du Temps,<p><b>L'hair Du Temps</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Du+Temps 28+GRAND+RUE+DORLISHEIM'>Voir la devanture via Google Maps</a></p>
3.664326,49.524124,Bruy'hair Coiffure,<p><b>Bruy'hair Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Bruy%27hair+Coiffure 2+PL+DU+GENERAL+DE+GAULLE+BRUYERES-ET-MONTBERAULT'>Voir la devanture via Google Maps</a></p>
1.364421,45.689821,Univ'hair Coiffure,<p><b>Univ'hair Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Univ%27hair+Coiffure 22+RUE+DE+BEAUSOLEIL+PIERRE-BUFFIERE'>Voir la devanture via Google Maps</a></p>
4.543366,47.873159,Un Hair De Beaute,<p><b>Un Hair De Beaute</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Un+Hair+De+Beaute 29+RUE+DU+COMMERCE+SAINTE-COLOMBE-SUR-SEINE'>Voir la devanture via Google Maps</a></p>
